BIL,HS,PRODUCT DESCRIPTION,COUNTRY,MONTH,TRADE FLOW,TRADE VALUE
49,0105949900,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS.OTHER THAN WEIGHING NOT MORE THAN 185 G:FOWLS OF THE SPECIES GALLUS DOMESTICUS:OTHER THAN BREEDING FOWLS, OTHER THAN FIGHTING COCKS AND FIGHTING COCKS:OTHER THAN WEIGHING NOT MORE THAN 2 KG",SINGAPORE,2022-01-01,EXPORTS,42097749
50,0105111000,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS.WEIGHING NOT MORE THAN 185 G:FOWLS OF THE SPECIES GALLUS DOMESTICUS: BREEDING FOWLS",BANGLADESH,2022-02-01,EXPORTS,342502
51,0105111000,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS.WEIGHING NOT MORE THAN 185 G:FOWLS OF THE SPECIES GALLUS DOMESTICUS: BREEDING FOWLS",BRUNEI DARUSSALAM,2022-02-01,EXPORTS,807597
52,0105111000,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS.WEIGHING NOT MORE THAN 185 G:FOWLS OF THE SPECIES GALLUS DOMESTICUS: BREEDING FOWLS",MYANMAR,2022-02-01,EXPORTS,280721
53,0105111000,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS.WEIGHING NOT MORE THAN 185 G:FOWLS OF THE SPECIES GALLUS DOMESTICUS: BREEDING FOWLS",NEPAL,2022-02-01,EXPORTS,356134
54,0105111000,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS.WEIGHING NOT MORE THAN 185 G:FOWLS OF THE SPECIES GALLUS DOMESTICUS: BREEDING FOWLS",PAKISTAN,2022-02-01,EXPORTS,5176
55,0105111000,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS.WEIGHING NOT MORE THAN 185 G:FOWLS OF THE SPECIES GALLUS DOMESTICUS: BREEDING FOWLS",SINGAPORE,2022-02-01,EXPORTS,435383
56,0105111000,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS.WEIGHING NOT MORE THAN 185 G:FOWLS OF THE SPECIES GALLUS DOMESTICUS: BREEDING FOWLS",THAILAND,2022-02-01,EXPORTS,3680
57,0105111000,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS.WEIGHING NOT MORE THAN 185 G:FOWLS OF THE SPECIES GALLUS DOMESTICUS: BREEDING FOWLS",TIMOR LESTE,2022-02-01,EXPORTS,0
58,0105111000,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS.WEIGHING NOT MORE THAN 185 G:FOWLS OF THE SPECIES GALLUS DOMESTICUS: BREEDING FOWLS",VIET NAM,2022-02-01,EXPORTS,874023
59,0105119000,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS.WEIGHING NOT MORE THAN 185 G:FOWLS OF THE SPECIES GALLUS DOMESTICUS: OTHER THAN BREEDING FOWLS",PAKISTAN,2022-02-01,EXPORTS,0
60,0105119000,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS.WEIGHING NOT MORE THAN 185 G:FOWLS OF THE SPECIES GALLUS DOMESTICUS: OTHER THAN BREEDING FOWLS",THAILAND,2022-02-01,EXPORTS,72200
61,0105949100,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS.OTHER THAN WEIGHING NOT MORE THAN 185 G:FOWLS OF THE SPECIES GALLUS DOMESTICUS:OTHER THAN BREEDING FOWLS, OTHER THAN FIGHTING COCKS AND FIGHTING COCKS:WEIGHING NOT MORE THAN 2 KG",SINGAPORE,2022-02-01,EXPORTS,18569772
62,0105949100,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS.OTHER THAN WEIGHING NOT MORE THAN 185 G:FOWLS OF THE SPECIES GALLUS DOMESTICUS:OTHER THAN BREEDING FOWLS, OTHER THAN FIGHTING COCKS AND FIGHTING COCKS:WEIGHING NOT MORE THAN 2 KG",THAILAND,2022-02-01,EXPORTS,0
63,0105949900,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS.OTHER THAN WEIGHING NOT MORE THAN 185 G:FOWLS OF THE SPECIES GALLUS DOMESTICUS:OTHER THAN BREEDING FOWLS, OTHER THAN FIGHTING COCKS AND FIGHTING COCKS:OTHER THAN WEIGHING NOT MORE THAN 2 KG",SINGAPORE,2022-02-01,EXPORTS,29120342
64,0105111000,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS.WEIGHING NOT MORE THAN 185 G:FOWLS OF THE SPECIES GALLUS DOMESTICUS: BREEDING FOWLS",BANGLADESH,2022-03-01,EXPORTS,0
65,0105111000,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS.WEIGHING NOT MORE THAN 185 G:FOWLS OF THE SPECIES GALLUS DOMESTICUS: BREEDING FOWLS",BRUNEI DARUSSALAM,2022-03-01,EXPORTS,795156
66,0105111000,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS.WEIGHING NOT MORE THAN 185 G:FOWLS OF THE SPECIES GALLUS DOMESTICUS: BREEDING FOWLS",MYANMAR,2022-03-01,EXPORTS,829732
67,0105111000,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS.WEIGHING NOT MORE THAN 185 G:FOWLS OF THE SPECIES GALLUS DOMESTICUS: BREEDING FOWLS",NEPAL,2022-03-01,EXPORTS,541805
68,0105111000,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS.WEIGHING NOT MORE THAN 185 G:FOWLS OF THE SPECIES GALLUS DOMESTICUS: BREEDING FOWLS",PAKISTAN,2022-03-01,EXPORTS,0
69,0105111000,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS.WEIGHING NOT MORE THAN 185 G:FOWLS OF THE SPECIES GALLUS DOMESTICUS: BREEDING FOWLS",SINGAPORE,2022-03-01,EXPORTS,144768
70,0105111000,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS.WEIGHING NOT MORE THAN 185 G:FOWLS OF THE SPECIES GALLUS DOMESTICUS: BREEDING FOWLS",THAILAND,2022-03-01,EXPORTS,3240
71,0105111000,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS.WEIGHING NOT MORE THAN 185 G:FOWLS OF THE SPECIES GALLUS DOMESTICUS: BREEDING FOWLS",TIMOR LESTE,2022-03-01,EXPORTS,0
72,0105111000,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS.WEIGHING NOT MORE THAN 185 G:FOWLS OF THE SPECIES GALLUS DOMESTICUS: BREEDING FOWLS",VIET NAM,2022-03-01,EXPORTS,470439
73,0105119000,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS.WEIGHING NOT MORE THAN 185 G:FOWLS OF THE SPECIES GALLUS DOMESTICUS: OTHER THAN BREEDING FOWLS",PAKISTAN,2022-03-01,EXPORTS,0
74,0105119000,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS.WEIGHING NOT MORE THAN 185 G:FOWLS OF THE SPECIES GALLUS DOMESTICUS: OTHER THAN BREEDING FOWLS",THAILAND,2022-03-01,EXPORTS,0
75,0105949100,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS.OTHER THAN WEIGHING NOT MORE THAN 185 G:FOWLS OF THE SPECIES GALLUS DOMESTICUS:OTHER THAN BREEDING FOWLS, OTHER THAN FIGHTING COCKS AND FIGHTING COCKS:WEIGHING NOT MORE THAN 2 KG",SINGAPORE,2022-03-01,EXPORTS,0
76,0105949100,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS.OTHER THAN WEIGHING NOT MORE THAN 185 G:FOWLS OF THE SPECIES GALLUS DOMESTICUS:OTHER THAN BREEDING FOWLS, OTHER THAN FIGHTING COCKS AND FIGHTING COCKS:WEIGHING NOT MORE THAN 2 KG",THAILAND,2022-03-01,EXPORTS,193485
77,0105949900,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS.OTHER THAN WEIGHING NOT MORE THAN 185 G:FOWLS OF THE SPECIES GALLUS DOMESTICUS:OTHER THAN BREEDING FOWLS, OTHER THAN FIGHTING COCKS AND FIGHTING COCKS:OTHER THAN WEIGHING NOT MORE THAN 2 KG",SINGAPORE,2022-03-01,EXPORTS,62203329
